status,source,drive_id,size_bytes,repo_target,drive_url
exists,Agiz Raporlar,1FuHFHvppThpWMZewEoUKp2hwp5SN66HW,562666,08_article/reports/mouth/Xception_Mouth_Deney1_Sonuc_Raporu_Guncellenmis.pdf,https://drive.google.com/file/d/1FuHFHvppThpWMZewEoUKp2hwp5SN66HW/view
exists,Agiz Kod Aciklamalari,1lDFv_-iqyd6whaZfyZYnZjz9B_UpAimU,88147,08_article/code_explanations/mouth/EfficientNet_B0_Agiz_ROI_Kod_Aciklama_Teknik_Raporu.pdf,https://drive.google.com/file/d/1lDFv_-iqyd6whaZfyZYnZjz9B_UpAimU/view
exists,Agiz Kod Aciklamalari,12qcqoTK-4sksZ8QPLCRr9feEDZrWeG5M,5222,08_article/code_explanations/mouth/DenseNet121_Kas_Goz_Agiz_LeakageSafe_Fuzyon_Kod_Aciklama_Raporu.pdf,https://drive.google.com/file/d/12qcqoTK-4sksZ8QPLCRr9feEDZrWeG5M/view
exists,Agiz Kod Aciklamalari,1SfGQaB9oLCgg12vdpOJbb2n1RM5ygVp9,5155,08_article/code_explanations/mouth/HOG_LBP_KAZE_RBFSVM_Kas_Goz_Agiz_Fuzyon_Kod_Aciklama_Raporu.pdf,https://drive.google.com/file/d/1SfGQaB9oLCgg12vdpOJbb2n1RM5ygVp9/view
exists,Agiz Kod Aciklamalari,1tXuGeZfReCP_1GWd-b1TOY43o-T18CaF,5448,08_article/code_explanations/mouth/Xception_Kas_Goz_Agiz_Weighted_Fusion_Kod_Aciklama_Raporu.pdf,https://drive.google.com/file/d/1tXuGeZfReCP_1GWd-b1TOY43o-T18CaF/view
exists,Agiz Kod Aciklamalari,1MjJt4Cw-I_zYL1bPA_NpMjV6WTnN_AN_,61274,08_article/code_explanations/mouth/Agiz_SwinV2_Tiny_Kod_Raporu.pdf,https://drive.google.com/file/d/1MjJt4Cw-I_zYL1bPA_NpMjV6WTnN_AN_/view
exists,Agiz Kod Aciklamalari,1D_NzF1mx610Vat_qjWynVhnn7v8qBCOl,224138,08_article/code_explanations/mouth/VGG16_SVM_Agiz_Kod_Aciklama_Raporu.pdf,https://drive.google.com/file/d/1D_NzF1mx610Vat_qjWynVhnn7v8qBCOl/view
exists,Agiz Kod Aciklamalari,1bEi0HATcPIfmMjLnOnJBrce87CCtjg-Z,87739,08_article/code_explanations/mouth/DenseNet121_Mouth_Kod_Aciklama_Raporu.pdf,https://drive.google.com/file/d/1bEi0HATcPIfmMjLnOnJBrce87CCtjg-Z/view
exists,Agiz Kod Aciklamalari,1LMHV5asajxFdlZhY1OXL9Cstj0dIfGUT,259382,08_article/code_explanations/mouth/VGG16_HOG_GIST_RBF_SVM_Agiz_Kod_Aciklama_Raporu (1).pdf,https://drive.google.com/file/d/1LMHV5asajxFdlZhY1OXL9Cstj0dIfGUT/view
exists,Agiz Kod Aciklamalari,1K0-4Wwrm7zQTSNq0hgtLUK7Dcy9JOkeh,584810,08_article/code_explanations/mouth/HOG_LBP_KAZE_Mouth_Kod_Aciklamasi.pdf,https://drive.google.com/file/d/1K0-4Wwrm7zQTSNq0hgtLUK7Dcy9JOkeh/view
exists,Agiz Kod Aciklamalari,1OpmYUUZ53rsv71ui33WkLTPazdafhxEk,132365,08_article/code_explanations/mouth/Xception_Agiz_Deepfake_Deney_Raporu (1).pdf,https://drive.google.com/file/d/1OpmYUUZ53rsv71ui33WkLTPazdafhxEk/view
exists,Agiz Kod Aciklamalari,1XmGLbbgtI8dTwjNylZKceaihrmz13kKB,326172,08_article/code_explanations/mouth/Xception_Mouth_Kod_Aciklama_Raporu.pdf,https://drive.google.com/file/d/1XmGLbbgtI8dTwjNylZKceaihrmz13kKB/view
exists,Goz Kodlar,1spDk00SVIp-_M4jaUkeDod1m1o3caWWN,66592,03_regional_models/notebooks/fusion/03_Calibrated_Weighted_Fusion_AUTO_ARTIFACTS_MY_MODELS.ipynb,https://drive.google.com/file/d/1spDk00SVIp-_M4jaUkeDod1m1o3caWWN/view
exists,Goz Kodlar,13impwDNH1JFsIrGUx1C9aNYD_jmuEg3L,56416,03_regional_models/notebooks/fusion/03_Calibrated_Weighted_Score_Fusion_MY_MODELS.ipynb,https://drive.google.com/file/d/13impwDNH1JFsIrGUx1C9aNYD_jmuEg3L/view
exists,Goz Kodlar,1yIIsNFJmhMZsOq6sL_Y1YLWDXNctzeeY,88471,03_regional_models/notebooks/fusion/03_Calibrated_Weighted_Fusion_3_Model_Ailesi_CLEAN.ipynb,https://drive.google.com/file/d/1yIIsNFJmhMZsOq6sL_Y1YLWDXNctzeeY/view
exists,Goz Kodlar,150bCuLqIsEBhYtt_L8f9B2NUEB7muy7S,80202,03_regional_models/notebooks/fusion/03_Calibrated_Weighted_Fusion_3_Model_Ailesi.ipynb,https://drive.google.com/file/d/150bCuLqIsEBhYtt_L8f9B2NUEB7muy7S/view
downloaded,Goz Kodlar,1c7H4EK-qC1ax2Pxyh3dxnhhQlwvHw36P,200075,03_regional_models/notebooks/fusion/00_Generate_Validation_Predictions_For_Logistic_Fusion_v2.ipynb,https://drive.google.com/file/d/1c7H4EK-qC1ax2Pxyh3dxnhhQlwvHw36P/view
downloaded,Goz Kodlar,1hxeEPeImfN68EIF_2hDXo_hpa5HgeER3,59985,03_regional_models/notebooks/fusion/00_Generate_Validation_Predictions_For_Logistic_Fusion.ipynb,https://drive.google.com/file/d/1hxeEPeImfN68EIF_2hDXo_hpa5HgeER3/view
downloaded,Goz Kodlar,1M9v7wBie-rNxCQALo_RzpVSr764qJkHI,131188,03_regional_models/notebooks/fusion/03_Learnable_Logistic_Fusion_3_Model_Ailesi_REVISED_FROM_SCRATCH.ipynb,https://drive.google.com/file/d/1M9v7wBie-rNxCQALo_RzpVSr764qJkHI/view
downloaded,Goz Kodlar,1jDp7MhVjfL6-tZFgcgXbcK773an7cGPO,194169,03_regional_models/notebooks/fusion/02_Weighted_Soft_Voting_3_Model_Ailesi_REVISED_FROM_SCRATCH.ipynb,https://drive.google.com/file/d/1jDp7MhVjfL6-tZFgcgXbcK773an7cGPO/view
downloaded,Goz Kodlar,1Gfe76IGB7YROKuTBlqAS3cm69yAfn5Ad,177439,03_regional_models/notebooks/fusion/01_Equal_Soft_Voting_3_Model_Ailesi_REVISED.ipynb,https://drive.google.com/file/d/1Gfe76IGB7YROKuTBlqAS3cm69yAfn5Ad/view
downloaded,Goz Kodlar,1BAXedcSygjETcxvbmry7-OEJuZR-fTfV,43400,03_regional_models/notebooks/fusion/01_Equal_Soft_Voting_3_Model_Ailesi.ipynb,https://drive.google.com/file/d/1BAXedcSygjETcxvbmry7-OEJuZR-fTfV/view
downloaded,Goz Kodlar,1M1eOkUrv16TH-Nk6L9uzbOJLDOmi-4m6,345477,03_regional_models/notebooks/eye/DenseNet121_Eye_Deepfake_Colab_REVISED.ipynb,https://drive.google.com/file/d/1M1eOkUrv16TH-Nk6L9uzbOJLDOmi-4m6/view
downloaded,Goz Kodlar,1KIDOOc88JJRW0awxh759ZAfvtMRi6fLE,256792,03_regional_models/notebooks/eye/Goz_VGG16_SVM_SSOT_Deney.ipynb,https://drive.google.com/file/d/1KIDOOc88JJRW0awxh759ZAfvtMRi6fLE/view
downloaded,Goz Kodlar,1YKxLsgih98qCZvnPobj6mnOxJpLZPxDw,185845,03_regional_models/notebooks/eye/Kader_Deney1_Goz_VGG16_SVM_SSOT_v2_FIXED_v3.ipynb,https://drive.google.com/file/d/1YKxLsgih98qCZvnPobj6mnOxJpLZPxDw/view
downloaded,Goz Kodlar,1g_oZiv68KV-atF89xSNj9qdwVmD7RUBy,517696,03_regional_models/notebooks/eye/efficientnet_b0_eye_baseline_FINAL_STABLE.ipynb,https://drive.google.com/file/d/1g_oZiv68KV-atF89xSNj9qdwVmD7RUBy/view
downloaded,Goz Kodlar,1f1D2nYaRLq6HYIW6ZyE_qbXBBgnY0vGE,89496,03_regional_models/notebooks/eye/Kader_Deney1_Goz_VGG16_SVM_SSOT_v2_FIXED_v2.ipynb,https://drive.google.com/file/d/1f1D2nYaRLq6HYIW6ZyE_qbXBBgnY0vGE/view
downloaded,Goz Kodlar,1CXVHL-9XvckY5dhzkHsKRbWuoHGIMCY_,64103,03_regional_models/notebooks/eye/Kader_Deney1_Goz_VGG16_SVM_SSOT_v2_FIXED.ipynb,https://drive.google.com/file/d/1CXVHL-9XvckY5dhzkHsKRbWuoHGIMCY_/view
downloaded,Goz Kodlar,1bVGUTeEYvAAlPRnmhkUYB2ecjGYWD_mL,49930,03_regional_models/notebooks/eye/Kader_Deney1_Goz_VGG16_FeatureExtractor_SVM_FIXED.ipynb,https://drive.google.com/file/d/1bVGUTeEYvAAlPRnmhkUYB2ecjGYWD_mL/view
downloaded,Goz Kodlar,17jAa5NUf5ohK4iDrtNyHIdhkXQcIk5Hw,135903,03_regional_models/notebooks/eye/efficientnet_b0_eye_baseline_FAST_STABLE.ipynb,https://drive.google.com/file/d/17jAa5NUf5ohK4iDrtNyHIdhkXQcIk5Hw/view
downloaded,Goz Kodlar,1c_G43Rc-bp2a7EK7Y5KQJCOOGQ1dHQsW,70374,03_regional_models/notebooks/eye/efficientnet_b0_eye_baseline_REVIZED.ipynb,https://drive.google.com/file/d/1c_G43Rc-bp2a7EK7Y5KQJCOOGQ1dHQsW/view
